time,open,high,low,close,volume BTC,volume USD
2023-11-11,37301.63,37408.26,36666.93,37130.0,22984.97235,851924612.7339427
2023-11-12,37129.99,37222.22,36731.1,37064.13,17687.18874,655570813.1382711
2023-11-13,37064.13,37417.99,36333.0,36462.93,32798.18252,1208037462.3041444
2023-11-14,36462.93,36744.0,34800.0,35551.19,45503.68416,1639130785.08681
2023-11-15,35551.2,37980.0,35360.0,37858.2,53569.13385,1963249656.5094738
2023-11-16,37858.2,37929.54,35500.0,36163.51,47490.39566,1744503339.0151727
2023-11-17,36163.51,36800.0,35861.1,36613.92,38283.61112,1391225051.1923273
2023-11-18,36613.91,36845.49,36178.58,36568.1,17102.24186,624434069.5256634
2023-11-19,36568.11,37500.0,36384.02,37359.86,21246.34648,781531839.4371592
2023-11-20,37359.85,37750.0,36677.0,37448.78,36022.70291,1343722642.386475
2023-11-21,37448.79,37649.44,35735.0,35741.65,47646.54804,1756747495.9818547
2023-11-22,35741.65,37861.1,35632.01,37408.34,45051.30697,1657141022.427348
2023-11-23,37408.35,37653.44,36870.0,37294.28,23827.92882,888826648.8541473
2023-11-24,37294.27,38414.0,37251.51,37713.57,44680.80646,1688715728.079148
2023-11-25,37713.57,37888.0,37591.1,37780.67,11396.14464,430165251.7609749
2023-11-26,37780.67,37814.63,37150.0,37447.43,21264.53723,797321193.5893991
2023-11-27,37447.42,37569.23,36707.0,37242.7,30001.07376,1112557435.2767923
2023-11-28,37242.7,38377.0,36868.41,37818.87,37544.46667,1414360251.6823456
2023-11-29,37818.88,38450.0,37570.0,37854.64,32994.19107,1252586505.66259
2023-11-30,37854.65,38145.85,37500.0,37723.96,24740.29147,934491058.9608141
2023-12-01,37723.97,38999.0,37615.86,38682.52,43415.66324,1669750777.6239815
2023-12-02,38682.51,39717.14,38641.61,39450.35,26696.92161,1043421976.7660652
2023-12-03,39450.35,40250.0,39274.86,39972.26,26710.65335,1059860641.0494444
2023-12-04,39972.26,42420.0,39972.26,41991.1,79272.33059,3285736844.1408806
2023-12-05,41991.1,44488.0,41414.0,44073.32,67490.74644,2890205389.4901266
2023-12-06,44073.82,44297.21,43335.28,43762.69,51431.10492,2256979505.594805
2023-12-07,43762.69,44047.33,42821.1,43273.14,47103.26845,2046945851.8836446
2023-12-08,43273.15,44700.0,43081.1,44170.99,42900.37556,1875581755.4469104
2023-12-09,44171.0,44358.02,43584.51,43713.6,24925.97008,1096487106.5648339
2023-12-10,43713.59,44049.0,43563.0,43789.51,18956.61758,830485162.5569535
