date,FAGI_score,FAGI_sentiment
2023-08-01,53,Neutral
2023-08-02,53,Neutral
2023-08-03,52,Neutral
2023-08-04,54,Neutral
2023-08-05,50,Neutral
2023-08-06,49,Neutral
2023-08-07,49,Neutral
2023-08-08,54,Neutral
2023-08-09,50,Neutral
2023-08-10,53,Neutral
2023-08-11,51,Neutral
2023-08-12,54,Neutral
2023-08-13,54,Neutral
2023-08-14,50,Neutral
2023-08-15,53,Neutral
2023-08-16,52,Neutral
2023-08-17,50,Neutral
2023-08-18,37,Fear
2023-08-19,39,Fear
2023-08-20,37,Fear
2023-08-21,38,Fear
2023-08-22,37,Fear
2023-08-23,37,Fear
2023-08-24,41,Fear
2023-08-25,39,Fear
2023-08-26,38,Fear
2023-08-27,38,Fear
2023-08-28,39,Fear
2023-08-29,39,Fear
2023-08-30,49,Neutral
2023-08-31,52,Neutral
2023-09-01,40,Fear
2023-09-02,39,Fear
2023-09-03,40,Fear
2023-09-04,40,Fear
2023-09-05,40,Fear
2023-09-06,42,Fear
2023-09-07,41,Fear
2023-09-08,46,Fear
2023-09-09,41,Fear
2023-09-10,40,Fear
2023-09-11,40,Fear
2023-09-12,30,Fear
2023-09-13,41,Fear
2023-09-14,45,Fear
2023-09-15,45,Fear
2023-09-16,43,Fear
2023-09-17,46,Fear
2023-09-18,46,Fear
2023-09-19,46,Fear
2023-09-20,47,Neutral
2023-09-21,47,Neutral
2023-09-22,43,Fear
2023-09-23,47,Neutral
2023-09-24,44,Fear
2023-09-25,47,Neutral
2023-09-26,46,Fear
2023-09-27,44,Fear
2023-09-28,46,Fear
2023-09-29,48,Neutral
2023-09-30,47,Neutral
2023-10-01,48,Neutral
2023-10-02,50,Neutral
2023-10-03,50,Neutral
2023-10-04,49,Neutral
2023-10-05,48,Neutral
2023-10-06,50,Neutral
2023-10-07,49,Neutral
2023-10-08,50,Neutral
2023-10-09,50,Neutral
2023-10-10,50,Neutral
2023-10-11,47,Neutral
2023-10-12,45,Fear
2023-10-13,44,Fear
2023-10-14,47,Neutral
2023-10-15,45,Fear
2023-10-16,47,Neutral
2023-10-17,52,Neutral
2023-10-18,50,Neutral
2023-10-19,52,Neutral
2023-10-20,53,Neutral
2023-10-21,63,Greed
2023-10-22,53,Neutral
2023-10-23,53,Neutral
2023-10-24,66,Greed
2023-10-25,72,Greed
2023-10-26,71,Greed
2023-10-27,70,Greed
2023-10-28,65,Greed
2023-10-29,72,Greed
2023-10-30,68,Greed
2023-10-31,66,Greed
2023-11-01,66,Greed
2023-11-02,72,Greed
2023-11-03,65,Greed
2023-11-04,68,Greed
2023-11-05,70,Greed
2023-11-06,74,Greed
2023-11-07,68,Greed
2023-11-08,66,Greed
2023-11-09,69,Greed
2023-11-10,70,Greed
2023-11-11,70,Greed
2023-11-12,73,Greed
2023-11-13,72,Greed
2023-11-14,69,Greed
2023-11-15,60,Greed
2023-11-16,70,Greed
2023-11-17,63,Greed
2023-11-18,69,Greed
2023-11-19,66,Greed
2023-11-20,69,Greed
2023-11-21,71,Greed
2023-11-22,62,Greed
2023-11-23,66,Greed
2023-11-24,66,Greed
2023-11-25,73,Greed
2023-11-26,73,Greed
2023-11-27,66,Greed
2023-11-28,68,Greed
2023-11-29,72,Greed
2023-11-30,74,Greed
2023-12-01,71,Greed
2023-12-02,74,Greed
2023-12-03,73,Greed
2023-12-04,74,Greed
2023-12-05,75,Greed
2023-12-06,72,Greed
2023-12-07,72,Greed
2023-12-08,72,Greed
2023-12-09,73,Greed
2023-12-10,74,Greed
2023-12-11,74,Greed
2023-12-12,67,Greed
2023-12-13,65,Greed
2023-12-14,72,Greed
